,donor,acceptor,Label
1473,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCCCCCCc1c(/C=C2\C(=O)c3cc(Cl)c(Cl)cc3C2=C(C#N)C#N)sc2c1sc1c3c4nsnc4c4c5sc6c(CCCCCCCCCCC)c(/C=C7\C(=O)c8cc(Cl)c(Cl)cc8C7=C(C#N)C#N)sc6c5n(CC(CCCC)CCCCCC)c4c3n(CC(CCCC)CCCCCC)c21,17.2
1474,CCCCCCCCC(CCCCCC)Cn1nc2c(-c3ccc(C)s3)c(F)c(F)c(-c3ccc(-c4cc5c(s4)-c4cc6sc7cc8c(cc7c6cc4C5(c4ccc(CCCCCC)cc4)c4ccc(CCCCCC)cc4)C(c4ccc(CCCCCC)cc4)(c4ccc(CCCCCC)cc4)c4cc(C)sc4-8)s3)c2n1,CCCCC(CC)CC1(CC(CC)CCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C(CC(CC)CCCC)(CC(CC)CCCC)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3,8.05
1475,CCCCCCCCCCC(CCCCCCCC)Cn1c(=O)n(CC(CCCCCCCC)CCCCCCCCCC)c2c3cc(-c4cc5c(-c6ccc(CC(CC)CCCC)s6)c6sc(C)cc6c(-c6ccc(CC(CC)CCCC)s6)c5s4)sc3c3sc(C)cc3c21,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6/C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4/C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)cc1,11.19
1476,CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1c(-c3ccc(C)s3)sc(-c3ccc(C)s3)c1C2=O,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc(-c5cc(C(=O)OCC(CC)CCCC)c(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)s5)cc32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2cc(-c3cc(C(=O)OCC(CC)CCCC)c(/C=C5\C(=O)c6cc(F)c(F)cc6C5=C(C#N)C#N)s3)sc2-4)cc1,5.45
1477,CCCCC(CC)Cc1sc(CC(CC)CCCC)c2c1C(=O)c1c(-c3ccc(C)s3)sc(-c3ccc(C)s3)c1C2=O,CCCCC(CC)COc1c2cc(/C=C3/C(=O)c4ccccc4C3=C(C#N)C#N)sc2c(OCC(CC)CCCC)c2c1sc1c3c4nsnc4c4c5sc6c(OCC(CC)CCCC)c7cc(/C=C8/C(=O)c9ccccc9C8=C(C#N)C#N)sc7c(OCC(CC)CCCC)c6c5n(CC(CC)CCCC)c4c3n(CC(CC)CCCC)c12,6.29
1478,CCCCC(CC)COC(=O)c1sc2c(-c3cc4c(-c5ccc(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5ccc(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc(-c4ccc(-c5ccc(C=C(C#N)C#N)c6nsnc56)s4)ccc3-c3sc(-c4ccc(C=C(C#N)C#N)c5nsnc45)cc32)cc1,6.57
1479,CCCCCCCCSc1ccc(-c2c3cc(-c4sc5cc(-c6c(F)c(F)c(-c7cc8sc(C)c(CCCCCCCC)c8s7)c7nsnc67)sc5c4CCCCCCCC)sc3c(-c3ccc(SCCCCCCCC)s3)c3cc(C)sc23)s1,CCCCCC(CCCCC)N1C(=O)c2ccc3c4ccc5c6c(cc(-c7cc8c9c(ccc%10c%11ccc%12c%13c(ccc(c7c9%10)c%13%11)C(=O)N(C(CCCCC)CCCCC)C%12=O)C(=O)N(C(CCCCC)CCCCC)C8=O)c(c7ccc(c2c37)C1=O)c64)C(=O)N(C(CCCCC)CCCCC)C5=O,6.51
1480,CCCCCCCCC(CCCCCC)COc1cnc2c(-c3ccc(C)s3)c(F)c(F)c(C)c2n1,CCCCCCc1cccc(C2(c3cccc(CCCCCC)c3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(F)c(F)cc7C6=C(C#N)C#N)sc5c32)C(c2cccc(CCCCCC)c2)(c2cccc(CCCCCC)c2)c2c-4sc3cc(CC4C(=O)c5cc(F)c(F)cc5C4=C(C#N)C#N)sc23)c1,12.53
1481,CCCCCCCCOC(=O)c1sc2c(-c3cc4c(-c5cc(F)c(CC(CC)CCCC)s5)c5sc(C)cc5c(-c5cc(F)c(CC(CC)CCCC)s5)c4s3)sc(C)c2c1F,CCCCCCc1ccc(C2(c3ccc(CCCCCC)cc3)c3cc4c(cc3-c3sc5cc(/C=C6\C(=O)c7cc(Cl)c(Cl)cc7C6=C(C#N)C#N)sc5c32)C(c2ccc(CCCCCC)cc2)(c2ccc(CCCCCC)cc2)c2c-4sc3cc(/C=C4\C(=O)c5cc(Cl)c(Cl)cc5C4=C(C#N)C#N)sc23)cc1,11.1
1482,CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,CCCCCCCCN1C(=O)c2cc(-c3ccc(C=C4C(=O)c5ccccc5C4=O)s3)c3c4c(cc(-c5ccc(C=C6C(=O)c7ccccc7C6=O)s5)c(c24)C1=O)C(=O)N(CCCCCCCC)C3=O,14.31
