donor,Name,acceptor,Name,Homo,lumo,Voc,JSC,FF,PCE,Ref.
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCC(CN1C2=C(C3=C1C4=C(C5=C(N4CC(CCCCCCCCCC)CCCCCCCC)C6=C(C(CC(CCCCCC)CCCC)=C(S6)/C=C7C(C8=C(C\7=C(C#N)\C#N)C=CC(C(S9)=CC=C9C%10=CC(C(C%11=C/C%12=C(CC(CCCCCC)CCCC)C%13=C(C%12)C(N%14CC(CCCCCCCC)CCCCCCCCCC)=C(C%15=C%14C%16=C(C%17=C(N%16CC(CCCCCCCCCC)CCCCCCCC)C%18=C(C(CC(CCCCCC)CCCC)=C(S%18)/C=C%19C(C%20=C(C\%19=C(C#N)\C#N)C=CC(C)=C%20)=O)S%17)C%21=NSN=C%21%15)S%13)=O)=C(C/%11=C(C#N)/C#N)C=C%10)=C8)=O)S5)C%22=NSN=C%223)SC%23=C2CC(/C=C%24C(C%25=C(C\%24=C(C#N)\C#N)C=CC(C%26=CC=C(S%26)C%27=CC%28=C(C(/C(C%28=O)=C/C%29=C(C%30=C(C%31=C(C%32=C(N%31CC(CCCCCCCCCC)CCCCCCCC)C%33=C(C%34=C(N%33CC(CCCCCCCCCC)CCCCCCCC)C%35=C(C(CC(CCCCCC)CCCC)=C(S%35)/C=C%36C(C%37=C(C\%36=C(C#N)\C#N)C=C(C(Cl)=C%37)Cl)=O)S%34)C%38=NSN=C%38%32)S%30)S%29)CC(CCCCCC)CCCC)=C(C#N)/C#N)C=C%27)=C%25)=O)=C%23CC(CCCCCC)CCCC)CCCCCCCC,TYT,-5.64,-3.86,0.964,25.07,0.75,18.15,"LEE J-W, SUN C, PHAN T N-L, et al. Trimerized small-molecule acceptors enable high-performance organic solar cells with high open-circuit voltage and prolonged life-time [J]. Energy & Environmental Science, 2023, 16(8): 3339-3349."
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=CC=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CC)CCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=CC(C4=CC5=C(C=C4)C(=C(C#N)C#N)/C(=C/C4=C(CCCCCCCCCCC)C6=C(S4)C4=C(S6)C6=C(C7=C(C8=NSN=C86)C6=C(C8=C(S6)C(CCCCCCCCCCC)=C(/C=C6\C(=O)C9=C(C=CC=C9)C6=C(C#N)C#N)S8)N7CC(CC)CCCC)N4CC(CC)CCCC)C5=O)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,dBTIC¦Ã-EH,,,0.92,21.43,73.28,14.48,"H. Wang, C. Cao, H. Chen, H. Lai, C. Ke, Y. Zhu, H. Li, F. He, Angew. Chem. Int. Ed. 2022, 61, e202201844; Angew. Chem. 2022, 134, e202201844."
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=CC=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CC)CCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCC)CCCCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=CC(C4=CC5=C(C=C4)C(=C(C#N)C#N)/C(=C/C4=C(CCCCCCCCCCC)C6=C(S4)C4=C(S6)C6=C(C7=C(C8=NSN=C86)C6=C(C8=C(S6)C(CCCCCCCCCCC)=C(/C=C6\C(=O)C9=C(C=CC=C9)C6=C(C#N)C#N)S8)N7CC(CCCC)CCCCCC)N4CC(CCCC)CCCCCC)C5=O)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,dBTIC¦Ã-BO,,,0.91,20.97,70.26,13.42,"H. Wang, C. Cao, H. Chen, H. Lai, C. Ke, Y. Zhu, H. Li, F. He, Angew. Chem. Int. Ed. 2022, 61, e202201844; Angew. Chem. 2022, 134, e202201844."
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCCC1=C(SC2=C1SC3=C2N(C4=C3C5=NSN=C5C6=C4N(C7=C6SC8=C7SC(/C=C9C(C%10=C(C\9=C(C#N)\C#N)C=CC(C%11=CC%12=C(C(/C(C%12=O)=C/C%13=C(C%14=C(C%15=C(C%16=C(N%15CC(CCCCCC)CCCC)C%17=C(C%18=C(N%17CC(CCCCCC)CCCC)C%19=C(C(CCCCCCCCCCC)=C(S%19)/C=C%20C(C%21=C(C\%20=C(C#N)/C#N)C=CC=C%21)=O)S%18)C%22=NSN=C%22%16)S%14)S%13)CCCCCCCCCCC)=C(C#N)\C#N)C=C%11)=C%10)=O)=C8CCCCCCCCCCC)CC(CCCCCC)CCCC)CC(CCCC)CC)/C=C%23C(C%24=C(C\%23=C(C#N)\C#N)C=CC(C%25=CC(C(C%26=C/C%27=C(CCCCCCCCCCC)C%28=C(S%27)C%29=C(S%28)C%30=C(N%29CC(CCCCCC)CCCC)C%31=C(C%32=NSN=C%32%30)C%33=C(N%31CC(CCCC)CC)C%34=C(S%33)C(CCCCCCCCCCC)=C(S%34)/C=C%35C(C%36=C(C\%35=C(C#N)\C#N)C=CC=C%36)=O)=O)=C(C/%26=C(C#N)/C#N)C=C%25)=C%24)=O,tBTIC¦Ã-BO,,,0.9,21.25,68.76,13.16,"H. Wang, C. Cao, H. Chen, H. Lai, C. Ke, Y. Zhu, H. Li, F. He, Angew. Chem. Int. Ed. 2022, 61, e202201844; Angew. Chem. 2022, 134, e202201844."
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C2=C(SC3=C2SC(/C=C2\C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)=C3CCCCCCCCCCC)C2=C1C1=C(C3=NC4=C(C=CC(C5=CC=C(C6=CC7=C(C=C6)N=C6C(=N7)C7=C(C8=C6C6=C(C9=C(S6)C(CCCCCCCCCCC)=C(/C=C6\C(=O)C%10=C(C=C(F)C(F)=C%10)C6=C(C#N)C#N)S9)N8CC(CCCCCCCCCC)CCCCCCCCCCCC)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C6=C7SC7=C6SC(/C=C6\C(=O)C8=C(C=C(F)C(F)=C8)C6=C(C#N)C#N)=C7CCCCCCCCCCC)S5)=C4)N=C32)C2=C(C3=C(S2)C(CCCCCCCCCCC)=C(/C=C2\C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)S3)N1CC(CCCCCCCCCC)CCCCCCCCCCCC,CH8-0,,,0.936,22.61,72.1,15.26,"CHEN H, ZHANG Z, WANG P, et al. 3D acceptors with multiple A-D-A architectures for highly efficient organic solar cells [J]. Energy & Environmental Science, 2023, 16(4): 1773-1782."
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C2=C(SC3=C2SC(/C=C2\C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)=C3CCCCCCCCCCC)C2=C1C1=C(C3=NC4=C(C=C(F)C(C5=CC=C(C6=CC7=C(C=C6F)N=C6C(=N7)C7=C(C8=C6C6=C(C9=C(S6)C(CCCCCCCCCCC)=C(/C=C6\C(=O)C%10=C(C=C(F)C(F)=C%10)C6=C(C#N)C#N)S9)N8CC(CCCCCCCCCC)CCCCCCCCCCCC)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C6=C7SC7=C6SC(/C=C6\C(=O)C8=C(C=C(F)C(F)=C8)C6=C(C#N)C#N)=C7CCCCCCCCCCC)S5)=C4)N=C32)C2=C(C3=C(S2)C(CCCCCCCCCCC)=C(/C=C2\C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)S3)N1CC(CCCCCCCCCC)CCCCCCCCCCCC,CH8-1,,,0.923,24.89,74.2,17.05,"CHEN H, ZHANG Z, WANG P, et al. 3D acceptors with multiple A-D-A architectures for highly efficient organic solar cells [J]. Energy & Environmental Science, 2023, 16(4): 1773-1782."
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCCCC(CCCCCCCCCC)CN1C2=C(SC3=C2SC(/C=C2\C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)=C3CCCCCCCCCCC)C2=C1C1=C(C3=NC4=C(C=C(F)C(C5=C(F)C(F)=C(C6=CC7=C(C=C6F)N=C6C(=N7)C7=C(C8=C6C6=C(C9=C(S6)C(CCCCCCCCCCC)=C(/C=C6\C(=O)C%10=C(C=C(F)C(F)=C%10)C6=C(C#N)C#N)S9)N8CC(CCCCCCCCCC)CCCCCCCCCCCC)N(CC(CCCCCCCCCC)CCCCCCCCCCCC)C6=C7SC7=C6SC(/C=C6\C(=O)C8=C(C=C(F)C(F)=C8)C6=C(C#N)C#N)=C7CCCCCCCCCCC)S5)=C4)N=C32)C2=C(C3=C(S2)C(CCCCCCCCCCC)=C(/C=C2\C(=O)C4=C(C=C(F)C(F)=C4)C2=C(C#N)C#N)S3)N1CC(CCCCCCCCCC)CCCCCCCCCCCC,CH8-2,,,0.928,24.24,74.9,16.84,"CHEN H, ZHANG Z, WANG P, et al. 3D acceptors with multiple A-D-A architectures for highly efficient organic solar cells [J]. Energy & Environmental Science, 2023, 16(4): 1773-1782."
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=CC(C4=CC=C(C5=CC6=C(C=C5)C(=C(C#N)C#N)/C(=C/C5=C(CCCCCCCCCCC)C7SC8=C(C7S5)N(CCC(CCCCCC)CCCCCCCC)C5=C8C7=NSN=C7C7=C5N(CC(CCCCCC)CCCCCCCC)C5=C7SC7=C5SC(/C=C5\C(=O)C8=C(C=C(F)C(F)=C8)C5=C(C#N)C#N)=C7CCCCCCCCCCC)C6=O)S4)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCCCC)CCCCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCCCC)CCCCCCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(F)C(F)=C3)C2=C(C#N)C#N)=C1CCCCCCCCCCC,G-Dimer,,,0.904,24.39,78.95,17.41,"WANG C, MA X, SHEN Y-F, et al. Unique assembly of giant star-shaped trimer enables non-halogen solvent-fabricated, thermal stable, and efficient organic solar cells [J]. Joule, 2023, 7(10): 2386-2401."
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,O=C1C(/C(C2=C1C=C(C(S3)=CC4=C3C(C=C(C5=CC(C(C/6=C\C(S7)=C(CCCCCCCCCCC)C(S8)C7C(N9CCC(CCCCCC)CCCCCCCC)=C8C%10=C9C%11=C(C%12=NSN=C%10%12)C%13=C(N%11CC(CCCCCCCC)CCCCCC)C%14=C(S%13)C(CCCCCCCCCCC)=C(S%14)/C=C%15/C(C%16=C(C%15=O)C=C(F)C(F)=C%16)=C(C#N)/C#N)=O)=C(C6=C(C#N)/C#N)C=C5)S%17)=C%17C%18=C4SC(C%19=CC(C(C/%20=C\C(S%21)=C(CCCCCCCCCCC)C(S%22)C%21C(N%23CCC(CCCCCC)CCCCCCCC)=C%22C%24=C%23C%25=C(C%26=NSN=C%24%26)C%27=C(N%25CC(CCCCCCCC)CCCCCC)C%28=C(S%27)C(CCCCCCCCCCC)=C(S%28)/C=C%29/C(C%30=C(C%29=O)C=C(F)C(F)=C%30)=C(C#N)/C#N)=O)=C(C%20=C(C#N)/C#N)C=C%19)=C%18)C=C2)=C(C#N)\C#N)=C\C(S%31)=C(CCCCCCCCCCC)C(S%32)=C%31C(N%33CC(CCCCCCCC)CCCCCC)=C%32C%34=C%33C(N%35CC(CCCCCC)CCCCCCCC)=C(C(S%36)=C%35C(S%37)=C%36C(CCCCCCCCCCC)=C%37/C=C%38C(C(C=C(F)C(F)=C%39)=C%39C\%38=C(C#N)\C#N)=O)C%40=NSN=C%34%40,G-Trimer,,,0.896,26.75,79.3,19.01,"WANG C, MA X, SHEN Y-F, et al. Unique assembly of giant star-shaped trimer enables non-halogen solvent-fabricated, thermal stable, and efficient organic solar cells [J]. Joule, 2023, 7(10): 2386-2401."
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCC(CCCCCCCC)CN1C2=C(SC3=C2SC(/C=C2\C(=O)C4=CC(C5=CC=C(C6=CC(C7=CC=C(C8=CC=C9C(=C8)C(=O)/C(=C\C8=C(CC(CCCC)CCCCCC)C%10=C(S8)C8=C(S%10)C%10=C(C%11=C(C%12=NSN=C%12%10)C%10=C(C%12=C(S%10)C(CC(CCCC)CCCCCC)=C(/C=C%10\C(=O)C%13=CC(F)=C(F)C=C%13C%10=C(C#N)C#N)S%12)N%11CC(CCCCCCCC)CCCCCCCCCC)N8CC(CCCCCCCC)CCCCCCCCCC)C9=C(C#N)C#N)S7)=CC(C7=CC=C(C8=CC=C9C(=C8)C(=O)/C(=C\C8=C(CC(CCCC)CCCCCC)C%10=C(S8)C8=C(S%10)C%10=C(C%11=C(C%12=NSN=C%12%10)C%10=C(C%12=C(S%10)C(CC(CCCC)CCCCCC)=C(/C=C%10\C(=O)C%13=CC(F)=C(F)C=C%13C%10=C(C#N)C#N)S%12)N%11CC(CCCCCCCC)CCCCCCCCCC)N8CC(CCCCCCCC)CCCCCCCCCC)C9=C(C#N)C#N)S7)=C6)S5)=CC=C4C2=C(C#N)C#N)=C3CC(CCCC)CCCCCC)C2=C1C1=C(C3=NSN=C32)C2=C(C3=C(S2)C(CC(CCCC)CCCCCC)=C(/C=C2\C(=O)C4=CC(F)=C(F)C=C4C2=C(C#N)C#N)S3)N1CC(CCCCCCCC)CCCCCCCCCC,3BY,-5.65,-3.8,0.969,23.92,76.59,17.75,"SUN C, WANG J, BI F, et al. Non-fused core-linked star-shaped oligomer acceptors for stable binary organic solar cells with over 19% efficiency [J]. Energy & Environmental Science, 2025, 18(2): 862-873."
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCC(CCCCCCCC)CN1C2=C(SC3=C2SC(/C=C2\C(=O)C4=CC(C5=CC=C(C6=NC(C7=CC=C(C8=CC=C9C(=C8)C(=O)/C(=C\C8=C(CC(CCCC)CCCCCC)C%10=C(S8)C8=C(S%10)C%10=C(C%11=C(C%12=NSN=C%12%10)C%10=C(C%12=C(S%10)C(CC(CCCC)CCCCCC)=C(/C=C%10\C(=O)C%13=CC(F)=C(F)C=C%13C%10=C(C#N)C#N)S%12)N%11CC(CCCCCCCC)CCCCCCCCCC)N8CC(CCCCCCCC)CCCCCCCCCC)C9=C(C#N)C#N)S7)=NC(C7=CC=C(C8=CC=C9C(=C8)C(=O)/C(=C\C8=C(CC(CCCC)CCCCCC)C%10=C(S8)C8=C(S%10)C%10=C(C%11=C(C%12=NSN=C%12%10)C%10=C(C%12=C(S%10)C(CC(CCCC)CCCCCC)=C(/C=C%10\C(=O)C%13=CC(F)=C(F)C=C%13C%10=C(C#N)C#N)S%12)N%11CC(CCCCCCCC)CCCCCCCCCC)N8CC(CCCCCCCC)CCCCCCCCCC)C9=C(C#N)C#N)S7)=N6)S5)=CC=C4C2=C(C#N)C#N)=C3CC(CCCC)CCCCCC)C2=C1C1=C(C3=NSN=C32)C2=C(C3=C(S2)C(CC(CCCC)CCCCCC)=C(/C=C2\C(=O)C4=CC(F)=C(F)C=C4C2=C(C#N)C#N)S3)N1CC(CCCCCCCC)CCCCCCCCCC,3QY,-5.67,-3.83,0.951,26.36,76.86,19.27,"SUN C, WANG J, BI F, et al. Non-fused core-linked star-shaped oligomer acceptors for stable binary organic solar cells with over 19% efficiency [J]. Energy & Environmental Science, 2025, 18(2): 862-873."
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCCCC1=C(C=C2/C(C3=CC(F)=C(F)C=C3C2=O)=C(C#N)/C#N)SC4=C1SC5=C4N(C6=C5C7=NC8=C(C9=C(C%10=C8N=C%11C(C%12=C(N(C%13=C%12SC%14=C%13SC(/C=C%15\C(C%16=CC(F)=C(F)C=C%16C%15=O)=C(C#N)\C#N)=C%14CCCCCCCCCCC)CC(CCCCCCCCCC)CCCCCCCCCCCC)C%17=C%11C%18=C(N%17CC(CCCCCCCCCCCC)CCCCCCCCCC)C%19=C(C(CCCCCCCCCCC)=C(C=C%20/C(C%21=CC(F)=C(F)C=C%21C%20=O)=C(C#N)/C#N)S%19)S%18)=N%10)N=C%22C(C%23=C(N(C%24=C%23SC%25=C%24SC(C=C%26/C(C%27=CC(F)=C(F)C=C%27C%26=O)=C(C#N)/C#N)=C%25CCCCCCCCCCC)CC(CCCCCCCCCC)CCCCCCCCCCCC)C%28=C%22C%29=C(N%28CC(CCCCCCCCCC)CCCCCCCCCCCC)C%30=C(C(CCCCCCCCCCC)=C(/C=C%31\C(C%32=CC(F)=C(F)C=C%32C%31=O)=C(C#N)\C#N)S%30)S%29)=N9)N=C7C%33=C6N(C%34=C%33SC%35=C%34SC(C=C%36/C(C%37=CC(F)=C(F)C=C%37C%36=O)=C(C#N)/C#N)=C%35CCCCCCCCCCC)CC(CCCCCCCCCCCC)CCCCCCCCCC)CC(CCCCCCCCCCCC)CCCCCCCCCC,DT-6IC,,,0.961,22.31,73.49,15.66,"WANG C, CHEN Q, ZHANG C, et al. A 6-Arm Three-Blade Propeller Electron Acceptor for Organic Solar Cells with Efficiency over 19% [J]. CCS Chemistry, 2025, 7(4): 1177-1187.
"
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=CC(C4=CC=C(C5=CC6=C(C=C5)C(=C(C#N)C#N)/C(=C/C5=C(CCCCCCCCC)C7=C(S5)C5=C(S7)C7=C(C8=C(C9=NSN=C97)C7=C(C9=C(S7)C(CCCCCCCCC)=C(/C=C7\C(=O)C%10=CC(Cl)=C(Cl)C=C%10\C7=C(\C#N)C=O)S9)N8CC(CCCCCC)CCCCCCCC)N5CC(CCCCCC)CCCCCCCC)C6=O)S4)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCCCC)CCCCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCCCC)CCCCCCCC)C2=C1SC1=C2SC(/C=C2\C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)=C1CCCCCCCCC,DC9-HD,,,0.9,26.2,79.3,18.7,"W. Feng, Y. Bai, J. Wang, Y. Zhong, J. Wang, T. Chen, J. Zhang, K. Han, X. Wan, B. Kan, Y. Chen, Rational Design of Two Well-Compatible Dimeric Acceptors Through Regulating Chalcogen-Substituted Conjugated Backbone Enable Ternary Organic Solar Cells with 19.4% Efficiency. Adv. Energy Mater. 2024, 2404062. https://doi.org/10.1002/aenm.202404062"
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCCC1=C(/C=C2\C(=O)C3=C(C=C(Cl)C(Cl)=C3)C2=C(C#N)C#N)SC2=C1SC1=C2N(CC(CCCCCC)CCCCCCCC)C2=C1C1=NSN=C1C1=C2N(CC(CCCCCC)CCCCCCCC)C2=C1SC1=C2[Se]C(/C=C2\C(=O)C3=C(C=CC(C4=CC=C(C5=CC6=C(C=C5)C(=C(C#N)C#N)/C(=C/C5=C(CCCCCCCCC)C7=C([Se]5)C5=C(S7)C7=C(C8=C(C9=NSN=C97)C7=C(C9=C(S7)C(CCCCCCCCC)=C(/C=C7\C(=O)C%10=CC(Cl)=C(Cl)C=C%10\C7=C(\C#N)C=O)[Se]9)N8CC(CCCCCC)CCCCCCCC)N5CC(CCCCCC)CCCCCCCC)C6=O)S4)=C3)C2=C(C#N)C#N)=C1CCCCCCCCC,DYSe-3,,,0.864,27.5,78.3,18.6,"W. Feng, Y. Bai, J. Wang, Y. Zhong, J. Wang, T. Chen, J. Zhang, K. Han, X. Wan, B. Kan, Y. Chen, Rational Design of Two Well-Compatible Dimeric Acceptors Through Regulating Chalcogen-Substituted Conjugated Backbone Enable Ternary Organic Solar Cells with 19.4% Efficiency. Adv. Energy Mater. 2024, 2404062. https://doi.org/10.1002/aenm.202404062"
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCC(CCCCCCCCCC)CN1C2=C(CC3=C2SC(/C=C4C(C5=C(C=CC(C6=CC=C(C7=CC8=C(C=C7)C(/C(C8=O)=C/C9=C(CCCCCCCCCCC)C%10=C(S9)C%11=C(S%10)C%12=C(C%13=C(C%14=NSN=C%14%12)C%15=C(C%16=C(S%15)C(CCCCCCCCCCC)=C(/C=C%17C(C%18=C(C=C(F)C(F)=C%18)C\%17=C(C#N)/C#N)=O)S%16)N%13CC(CCCCCCCC)CCCCCCCCCC)N%11CC(CCCCCCCC)CCCCCCCCCC)=C(C#N)\C#N)S6)=C5)C\4=C(C#N)\C#N)=O)=C3CCCCCCCCCCC)C%19=C1C%20=C(C%21=NSN=C%21%19)C%22=C(C%23=C(S%22)C(CCCCCCCCCCC)=C(/C=C%24C(C%25=C(C=CC(C%26=CC=C(C%27=CC%28=C(C=C%27)C(/C(C%28=O)=C/C%29=C(CCCCCCCCCCC)C%30=C(S%29)C%31=C(S%30)C%32=C(C%33=C(C%34=NSN=C%34%32)C%35=C(C%36=C(S%35)C(CCCCCCCCCCC)=C(/C=C%37C(C%38=C(C=C(F)C(F)=C%38)C\%37=C(C#N)\C#N)=O)S%36)N%33CC(CCCCCCCCCC)CCCCCCCC)N%31CC(CCCCCCCCCC)CCCCCCCC)=C(C#N)/C#N)S%26)=C%25)C\%24=C(C#N)/C#N)=O)S%23)N%20CC(CCCCCCCCCC)CCCCCCCC,Tri-Y6-OD,,,0.916,25.3,77.8,18.03,"C. Zhang, J. Song, J. Xue, S. Wang, Z. Ge, Y. Man, W. Ma, Y. Sun, Angew. Chem. Int. Ed. 2023, 62, e202308595."
CCCCC(CC)Cc1sc(-c2c3cc(-c4ccc(-c5sc(-c6ccc(C)s6)c6c5C(=O)c5c(CC(CC)CCCC)sc(CC(CC)CCCC)c5C6=O)s4)sc3c(-c3cc(F)c(CC(CC)CCCC)s3)c3cc(C)sc23)cc1F,PM6,CCCCCCCCC(CN1C2=C(C3=C1C4=C(C5=C(N4CC(CCCCCCCC)CCCCCCCCCC)C6=C(C(CCCCCCCCCCC)=C(S6)/C=C7C(C8=C(C\7=C(C#N)/C#N)C=CC=C8)=O)S5)C9=NSN=C93)CC%10=C2SC(C=C%11C(C%12=CC%13=C(C(/C(C%13=O)=C\C%14=C(C%15=C(C%16=C(C%17=C(N%16CC(CCCCCCCCCC)CCCCCCCC)C%18=C(C%19=C(N%18CC(CCCCCCCCCC)CCCCCCCC)C%20=C(C(CCCCCCCCCCC)=C(S%20)/C=C%21C(C%22=C(C\%21=C(C#N)\C#N)C=C(C(F)=C%22)F)=O)S%19)C%23=NSN=C%23%17)S%15)S%14)CCCCCCCCCCC)=C(C#N)\C#N)C=C%12/C%11=C(C#N)\C#N)=O)=C%10CCCCCCCCCCC)CCCCCCCCCC,DY-cis-ICI,-5.79,-3.91,0.78,25.9,71,14.5,"JIANG H, XU J, LI Y, et al. Electron-Deficient Linkers in Giant Molecule Acceptors for Organic Solar Cells [J]. ACS Applied Energy Materials, 2024, 7(21): 10073-10080."
